age,Medu,Fedu,school,sex,failures,studytime,goout,Mjob,Fjob,G1
18,4,4,GP,F,0,2,4,at_home,teacher,5
17,1,1,GP,F,0,2,3,at_home,other,5
15,1,1,GP,F,3,2,2,at_home,other,7
15,4,2,GP,F,0,3,2,health,services,15
16,3,3,GP,F,0,2,2,other,other,6
16,4,3,GP,M,0,2,2,services,other,15
16,2,2,GP,M,0,2,4,other,other,12
17,4,4,GP,F,0,2,4,other,teacher,6
15,3,2,GP,M,0,2,2,services,other,16
15,3,4,GP,M,0,2,1,other,other,14
15,4,4,GP,F,0,2,3,teacher,health,10
15,2,1,GP,F,0,3,2,services,other,10
15,4,4,GP,M,0,1,3,health,services,14
15,4,3,GP,M,0,2,3,teacher,other,10
15,2,2,GP,M,0,3,2,other,other,14
16,4,4,GP,F,0,1,4,health,other,14
16,4,4,GP,F,0,3,3,services,services,13
16,3,3,GP,F,0,2,2,other,other,8
17,3,2,GP,M,3,1,5,services,services,6
16,4,3,GP,M,0,1,3,health,other,8
15,4,3,GP,M,0,2,1,teacher,other,13
15,4,4,GP,M,0,1,2,health,health,12
16,4,2,GP,M,0,2,1,teacher,other,15
16,2,2,GP,M,0,2,4,other,other,13
15,2,4,GP,F,0,3,2,services,health,10
16,2,2,GP,F,2,1,2,services,services,6
15,2,2,GP,M,0,1,2,other,other,12
15,4,2,GP,M,0,1,4,health,services,15
16,3,4,GP,M,0,2,3,services,other,11
16,4,4,GP,M,0,2,5,teacher,teacher,10
15,4,4,GP,M,0,2,2,health,services,9
15,4,4,GP,M,0,2,1,services,services,17
15,4,3,GP,M,0,2,2,teacher,at_home,17
15,3,3,GP,M,0,2,2,other,other,8
16,3,2,GP,M,0,1,3,other,other,12
15,2,3,GP,F,0,1,1,other,other,8
15,4,3,GP,M,0,3,3,teacher,services,15
16,4,4,GP,M,0,3,3,other,teacher,15
15,3,4,GP,F,0,3,2,services,health,12
15,2,2,GP,F,0,1,1,at_home,other,14
16,2,2,GP,F,1,2,3,other,other,7
15,4,4,GP,M,0,1,3,teacher,other,12
15,4,4,GP,M,0,2,3,services,teacher,19
15,2,2,GP,M,0,1,1,services,services,8
16,2,2,GP,F,1,2,3,other,at_home,10
15,4,3,GP,F,0,2,2,other,other,8
16,3,3,GP,F,0,2,5,other,services,11
16,4,3,GP,M,0,4,2,health,services,19
15,4,2,GP,M,0,2,3,teacher,other,15
15,4,4,GP,F,1,2,4,services,teacher,7
16,2,2,GP,F,0,2,3,services,services,12
15,4,2,GP,F,0,2,3,health,other,11
15,4,2,GP,M,1,1,5,health,health,11
15,4,4,GP,F,0,1,4,services,services,8
15,3,3,GP,F,0,1,4,other,other,10
16,2,1,GP,F,0,2,4,other,other,8
15,4,3,GP,F,0,2,2,services,services,14
15,4,4,GP,M,0,2,2,teacher,health,14
15,1,2,GP,M,0,2,2,other,at_home,9
16,4,2,GP,F,0,2,3,services,other,15
16,4,4,GP,F,0,2,4,health,teacher,10
16,1,1,GP,F,0,1,5,services,services,10
16,1,2,GP,F,0,2,3,other,services,8
16,4,3,GP,F,0,3,4,teacher,health,10
15,4,3,GP,F,0,2,4,services,services,10
16,4,3,GP,F,0,2,3,teacher,services,16
15,4,4,GP,M,0,4,3,other,services,13
16,3,1,GP,F,0,4,3,services,other,7
15,2,2,GP,F,0,2,3,health,services,8
15,3,1,GP,F,0,4,2,other,other,16
16,3,1,GP,M,0,4,2,other,other,13
15,4,2,GP,M,0,4,3,other,other,10
15,1,1,GP,F,2,2,4,other,other,8
16,3,1,GP,M,0,1,2,other,other,12
16,3,3,GP,F,0,2,3,other,services,11
15,4,3,GP,M,0,2,3,teacher,other,9
15,4,0,GP,M,0,4,3,teacher,other,11
16,2,2,GP,F,0,4,3,other,other,11
17,2,1,GP,M,3,1,1,other,other,8
16,3,4,GP,F,0,2,3,at_home,other,5
15,2,3,GP,M,0,1,2,other,services,10
15,2,3,GP,M,0,3,2,other,other,11
15,3,2,GP,F,0,2,4,services,other,7
15,2,2,GP,M,0,2,3,services,services,15
15,1,1,GP,F,0,2,2,other,other,9
15,4,4,GP,F,2,2,4,services,services,7
16,2,2,GP,F,0,2,4,at_home,other,8
15,4,2,GP,F,0,3,3,other,other,13
16,2,2,GP,M,1,2,2,services,other,11
16,4,4,GP,M,0,2,3,teacher,health,8
16,3,3,GP,F,0,3,3,other,other,7
15,4,3,GP,F,0,1,5,services,other,16
16,3,1,GP,F,0,2,3,other,other,7
16,4,2,GP,F,0,2,3,teacher,services,11
15,2,2,GP,M,0,4,4,services,health,11
15,1,1,GP,F,1,4,2,at_home,other,7
16,4,3,GP,M,0,1,3,services,other,11
16,2,1,GP,F,0,2,5,other,other,8
16,4,4,GP,F,0,1,4,other,other,11
16,4,3,GP,F,0,3,5,other,at_home,7
16,4,4,GP,M,0,1,5,services,services,7
16,4,4,GP,M,0,3,3,services,teacher,16
15,4,4,GP,M,0,1,3,services,other,10
15,3,2,GP,F,0,2,5,services,other,7
15,3,4,GP,M,0,2,4,services,other,16
15,3,3,GP,F,0,4,3,other,health,10
15,2,2,GP,F,0,4,2,other,other,7
16,3,3,GP,M,0,3,3,services,other,16
15,4,4,GP,M,0,4,5,other,other,10
16,4,4,GP,F,0,3,5,health,health,14
15,4,4,GP,M,0,1,3,teacher,teacher,18
16,3,3,GP,F,1,3,2,services,other,7
16,2,2,GP,F,1,2,2,at_home,other,10
15,4,2,GP,M,0,1,2,teacher,other,18
15,2,1,GP,M,0,2,2,health,services,9
16,4,4,GP,M,0,2,4,teacher,teacher,15
15,4,4,GP,M,0,2,3,other,teacher,11
16,3,3,GP,M,0,1,2,other,services,13
17,1,3,GP,M,1,2,4,other,other,9
15,3,4,GP,M,0,1,3,other,other,14
15,1,2,GP,F,0,2,3,at_home,services,16
15,2,2,GP,M,0,4,4,services,services,16
16,2,4,GP,F,0,2,2,other,health,13
16,4,4,GP,M,0,1,4,health,other,14
16,2,2,GP,F,0,2,4,other,other,8
15,3,4,GP,M,0,1,5,services,services,13
15,3,4,GP,F,0,2,2,other,other,7
19,0,1,GP,F,3,2,2,at_home,other,7
18,2,2,GP,M,2,1,3,services,other,7
16,4,4,GP,M,0,1,5,teacher,teacher,18
15,3,4,GP,F,2,3,2,services,teacher,12
15,1,1,GP,F,0,1,3,at_home,other,8
17,2,2,GP,F,0,1,4,other,other,10
16,3,4,GP,F,0,1,1,services,other,12
15,3,4,GP,M,0,2,3,at_home,teacher,9
15,4,4,GP,F,0,3,3,services,at_home,11
17,3,4,GP,M,0,2,5,at_home,other,10
16,3,3,GP,F,2,1,2,other,other,4
16,1,1,GP,M,1,2,4,services,other,14
15,4,4,GP,F,0,1,2,teacher,teacher,16
15,4,3,GP,M,0,4,2,teacher,services,7
16,2,2,GP,M,2,1,3,services,services,9
15,4,4,GP,F,0,3,2,teacher,services,9
16,1,1,GP,F,0,1,4,at_home,at_home,14
17,2,1,GP,M,3,1,5,other,other,5
15,1,1,GP,F,0,2,2,other,services,8
15,3,2,GP,F,3,2,2,health,services,6
15,1,2,GP,F,0,2,2,at_home,other,10
16,4,4,GP,M,0,1,2,teacher,teacher,7
15,2,1,GP,M,3,1,5,services,other,8
18,1,1,GP,M,3,1,5,other,other,6
16,2,1,GP,M,1,1,4,at_home,other,12
15,3,3,GP,F,2,3,1,services,services,10
19,3,2,GP,M,3,1,4,services,at_home,5
17,4,4,GP,F,0,1,1,other,teacher,11
15,2,3,GP,M,0,2,4,at_home,services,11
17,1,2,GP,M,0,1,2,other,other,16
18,1,1,GP,F,3,1,5,at_home,other,9
16,2,2,GP,M,0,1,2,at_home,other,17
16,3,3,GP,M,1,2,5,other,services,10
17,2,1,GP,M,2,1,2,at_home,other,7
15,3,2,GP,M,2,2,4,other,other,5
16,1,2,GP,M,1,1,4,other,other,7
17,1,3,GP,M,0,1,3,at_home,services,10
17,1,1,GP,M,3,2,5,other,services,5
16,3,2,GP,M,1,1,2,services,services,12
16,2,2,GP,M,0,2,5,other,other,10
16,4,2,GP,F,0,2,3,health,services,14
16,2,2,GP,F,0,2,5,other,other,6
16,4,4,GP,F,0,2,2,health,health,14
16,3,4,GP,M,2,1,5,other,other,6
16,1,0,GP,M,0,2,2,other,other,13
17,4,4,GP,M,0,2,4,teacher,other,13
16,1,3,GP,F,3,2,5,at_home,services,8
16,3,3,GP,F,0,2,5,other,other,10
17,4,3,GP,M,0,2,4,teacher,other,10
16,2,2,GP,F,0,2,4,services,other,13
17,3,3,GP,M,0,2,4,other,other,6
16,4,2,GP,M,0,1,3,teacher,services,10
17,4,3,GP,M,0,2,3,other,other,10
16,4,3,GP,M,0,2,3,teacher,other,9
16,3,3,GP,M,0,2,3,services,other,12
17,2,4,GP,F,0,2,2,services,services,16
17,3,3,GP,F,0,2,3,other,other,9
16,3,2,GP,F,0,2,2,other,other,12
17,3,3,GP,M,0,2,4,services,services,12
16,1,2,GP,M,0,1,3,services,services,11
16,2,1,GP,M,0,2,3,other,other,15
17,3,3,GP,F,0,2,3,health,other,8
17,1,2,GP,M,0,2,3,at_home,other,8
16,2,3,GP,F,0,2,3,services,services,11
17,1,1,GP,F,0,2,3,at_home,services,8
17,1,2,GP,M,0,2,4,at_home,services,7
16,3,3,GP,M,0,1,2,services,services,8
16,2,3,GP,M,0,1,3,other,other,13
17,2,4,GP,F,0,2,2,services,services,14
17,4,4,GP,M,0,1,3,services,teacher,17
16,3,3,GP,M,0,1,4,teacher,other,9
17,4,4,GP,F,1,1,4,services,teacher,18
16,4,4,GP,F,0,2,2,teacher,teacher,9
16,4,3,GP,F,0,2,5,health,other,16
16,2,3,GP,F,0,2,3,other,other,8
17,1,1,GP,F,0,2,4,other,other,9
17,2,2,GP,F,0,1,2,other,other,7
16,2,2,GP,F,0,4,5,services,services,10
17,3,4,GP,F,1,3,3,at_home,services,10
16,3,1,GP,F,3,2,3,services,other,7
16,4,3,GP,F,0,2,2,teacher,other,11
16,1,1,GP,F,0,1,2,at_home,other,9
17,4,3,GP,F,0,3,2,teacher,other,7
19,3,3,GP,F,0,4,3,other,other,8
17,4,4,GP,M,0,2,5,services,other,12
16,2,2,GP,F,0,2,4,other,other,12
18,2,2,GP,M,1,2,4,services,other,6
17,4,4,GP,F,0,1,1,services,other,8
17,3,2,GP,F,0,2,4,other,other,14
17,4,3,GP,F,2,2,5,other,other,6
18,3,3,GP,M,1,2,4,services,health,6
17,2,3,GP,F,0,1,3,at_home,other,7
17,2,2,GP,F,0,3,3,at_home,at_home,9
17,2,1,GP,F,0,2,5,at_home,services,6
17,1,1,GP,F,1,3,4,at_home,other,6
16,2,3,GP,F,0,2,1,services,teacher,16
18,2,2,GP,M,0,2,3,other,other,12
16,4,4,GP,F,0,3,2,teacher,services,13
18,3,1,GP,F,1,2,3,other,other,9
17,3,2,GP,F,0,2,4,other,other,16
17,2,3,GP,M,0,2,3,services,services,12
18,2,1,GP,M,0,2,2,at_home,other,10
17,2,1,GP,F,0,3,3,other,other,12
17,4,3,GP,F,0,2,3,health,other,13
17,2,2,GP,M,0,2,2,other,other,11
17,4,4,GP,M,0,2,5,teacher,teacher,11
16,4,4,GP,M,0,2,4,health,other,14
16,1,1,GP,M,0,2,2,other,other,9
16,3,2,GP,M,0,3,3,at_home,other,11
17,2,2,GP,M,0,2,2,other,other,14
16,2,1,GP,F,0,1,2,other,other,13
17,2,1,GP,F,0,2,1,at_home,services,13
18,2,2,GP,M,1,2,4,other,services,7
17,4,3,GP,M,0,2,5,health,other,12
17,4,4,GP,M,0,2,3,teacher,other,10
16,4,3,GP,M,0,1,5,teacher,other,6
16,4,4,GP,M,0,1,2,services,services,13
18,2,1,GP,F,0,3,4,other,other,7
16,2,1,GP,M,0,1,3,other,other,18
17,2,3,GP,M,0,1,2,other,other,12
22,3,1,GP,M,3,1,5,services,services,6
18,3,3,GP,M,1,2,3,other,services,3
16,0,2,GP,M,0,1,2,other,other,13
18,3,2,GP,M,1,1,5,services,other,6
16,3,3,GP,M,0,2,3,at_home,other,7
18,2,1,GP,M,1,1,5,services,services,6
16,2,1,GP,M,0,1,2,other,other,8
17,2,1,GP,M,0,1,2,other,other,8
17,1,1,GP,M,1,1,4,health,other,7
17,4,2,GP,F,0,4,3,teacher,services,14
19,4,3,GP,M,0,2,1,services,at_home,11
18,2,1,GP,M,0,2,4,other,other,15
17,2,2,GP,F,0,4,1,services,services,10
18,4,3,GP,F,0,2,2,services,other,17
18,4,3,GP,M,0,2,2,teacher,other,8
18,3,2,GP,M,0,3,2,other,other,13
17,3,3,GP,F,0,3,3,other,other,10
18,2,2,GP,F,0,3,3,at_home,services,9
18,3,4,GP,M,0,2,5,other,other,17
17,3,1,GP,M,0,2,4,services,other,9
18,4,4,GP,F,0,2,4,teacher,other,12
18,4,2,GP,M,0,2,5,health,other,10
18,2,1,GP,F,0,2,5,other,other,6
19,3,3,GP,F,2,2,5,other,services,9
18,2,3,GP,F,0,4,5,other,services,15
18,1,1,GP,F,0,2,3,other,other,11
17,1,2,GP,M,0,2,2,at_home,at_home,15
17,2,4,GP,F,0,2,3,at_home,health,10
17,2,2,GP,F,0,2,4,services,other,12
18,3,2,GP,F,0,2,1,other,services,10
18,4,4,GP,M,0,1,4,teacher,services,9
18,4,4,GP,F,1,2,4,health,health,9
18,4,3,GP,M,0,1,3,teacher,services,10
17,4,1,GP,M,0,1,4,services,other,8
17,3,2,GP,M,1,1,4,teacher,services,11
18,1,1,GP,F,0,4,2,at_home,other,12
18,1,1,GP,F,0,2,4,other,other,8
17,2,2,GP,F,0,2,5,other,other,10
17,1,1,GP,M,0,2,3,other,other,12
18,2,2,GP,F,0,3,3,at_home,at_home,18
17,1,1,GP,F,0,3,3,services,teacher,13
18,2,1,GP,M,0,3,4,services,services,15
18,4,4,GP,M,0,2,3,teacher,teacher,15
18,4,2,GP,M,0,2,2,teacher,other,12
17,4,3,GP,F,0,3,2,health,services,15
18,2,1,GP,F,1,2,3,services,at_home,12
17,3,1,GP,F,0,4,2,services,other,18
18,3,2,GP,M,0,3,2,services,other,14
17,3,3,GP,M,0,1,3,health,other,14
19,4,4,GP,F,0,2,4,health,other,10
18,4,3,GP,F,0,2,5,other,other,10
18,4,3,GP,F,0,4,3,other,other,14
18,4,4,GP,M,0,1,2,teacher,teacher,16
18,4,4,GP,F,0,2,4,health,other,12
17,4,4,GP,M,0,1,1,other,teacher,11
17,4,2,GP,F,0,3,3,other,other,15
17,3,2,GP,F,0,4,2,health,health,17
19,3,3,GP,M,1,2,4,other,other,15
18,2,4,GP,F,1,2,3,services,at_home,14
20,3,2,GP,M,0,1,3,services,other,17
19,4,4,GP,M,1,1,4,teacher,services,8
19,3,3,GP,M,1,2,3,other,services,15
19,1,1,GP,F,1,2,3,at_home,other,12
19,1,2,GP,F,1,2,4,services,services,9
19,2,1,GP,F,0,2,1,at_home,other,14
19,1,2,GP,M,1,2,2,other,services,13
19,3,2,GP,F,1,2,2,services,other,13
19,1,1,GP,F,2,3,2,at_home,health,15
19,2,3,GP,F,1,3,2,other,other,13
18,2,1,GP,F,0,2,3,services,other,8
18,4,3,GP,F,0,3,4,other,other,9
17,3,4,GP,F,0,3,4,at_home,services,11
18,4,4,GP,F,0,2,4,teacher,other,11
17,4,3,GP,F,0,2,2,services,services,13
17,2,2,GP,F,0,2,2,other,other,11
17,2,2,GP,F,0,3,2,services,services,11
17,3,1,GP,F,0,3,3,services,services,12
17,0,2,GP,F,0,3,3,at_home,at_home,16
18,4,4,GP,M,0,3,3,other,other,9
17,3,3,GP,M,0,1,5,other,services,14
17,2,2,GP,M,0,1,5,services,other,11
17,4,4,GP,F,0,3,4,teacher,services,10
17,4,4,GP,F,0,3,3,teacher,teacher,14
18,2,2,GP,M,0,4,5,other,other,9
17,2,4,GP,F,0,3,3,at_home,other,12
18,3,3,GP,F,0,2,4,services,services,7
18,2,2,GP,F,0,2,3,other,other,8
18,2,2,GP,F,0,4,4,at_home,other,10
17,3,4,GP,F,0,3,5,services,other,16
19,3,1,GP,F,1,3,3,services,at_home,14
17,3,2,GP,F,0,2,2,other,other,7
18,3,3,GP,F,0,4,3,services,services,16
17,3,2,GP,F,0,2,3,other,other,9
19,2,1,GP,F,1,3,4,services,services,11
18,4,4,GP,M,1,2,3,teacher,services,10
18,3,4,GP,M,0,2,3,services,other,16
17,2,2,GP,F,1,2,1,at_home,at_home,9
18,2,3,GP,F,0,3,3,at_home,other,11
18,3,2,GP,F,0,3,3,other,services,13
18,4,3,GP,M,0,3,2,teacher,services,16
18,4,3,GP,M,0,3,5,teacher,other,10
17,4,3,GP,F,0,3,3,health,other,13
18,3,2,MS,M,1,1,5,other,other,11
19,1,1,MS,M,3,2,4,other,services,8
17,3,3,MS,M,0,2,4,health,other,13
18,1,3,MS,M,1,1,3,at_home,services,8
19,1,1,MS,M,1,1,4,other,other,8
17,4,3,MS,M,0,2,5,services,other,13
18,3,3,MS,F,0,2,4,services,services,10
17,4,4,MS,F,0,2,3,teacher,services,12
17,3,2,MS,F,0,2,3,services,other,12
18,1,1,MS,M,0,1,2,other,services,10
18,1,1,MS,F,0,3,2,at_home,services,18
18,1,4,MS,F,0,2,4,at_home,other,13
18,1,1,MS,M,1,2,3,at_home,other,13
18,3,3,MS,F,0,2,2,services,services,11
17,4,4,MS,F,0,2,4,at_home,at_home,16
17,1,2,MS,F,0,2,2,other,services,12
18,1,3,MS,M,0,2,4,at_home,other,10
18,4,4,MS,M,0,3,2,teacher,services,13
17,1,1,MS,F,1,1,1,other,services,7
18,2,3,MS,F,0,1,3,at_home,services,11
18,4,4,MS,F,0,2,2,other,teacher,14
19,3,2,MS,F,2,2,2,services,services,7
18,1,2,MS,M,0,1,3,at_home,services,14
17,2,2,MS,F,0,3,3,other,at_home,13
17,1,2,MS,F,0,1,5,other,other,6
18,4,4,MS,F,0,3,4,other,other,19
18,1,1,MS,F,0,3,2,other,other,8
20,4,2,MS,F,2,3,3,health,other,15
18,4,4,MS,F,0,2,3,teacher,services,8
18,3,3,MS,F,0,2,3,other,other,15
17,3,1,MS,F,0,2,4,at_home,other,10
18,4,4,MS,M,0,2,4,teacher,teacher,15
18,2,1,MS,M,0,1,3,other,other,7
17,2,3,MS,M,0,2,3,other,services,11
19,1,1,MS,M,1,1,2,other,services,6
18,4,2,MS,M,1,1,3,other,other,6
18,2,2,MS,F,0,3,3,at_home,other,10
18,4,4,MS,F,0,1,3,teacher,at_home,6
19,2,3,MS,F,1,3,2,services,other,7
18,3,1,MS,F,0,2,4,teacher,services,7
18,1,1,MS,F,1,2,1,other,other,6
20,2,2,MS,M,2,2,4,services,services,9
17,3,1,MS,M,0,1,5,services,services,14
21,1,1,MS,M,3,1,3,other,other,10
18,3,2,MS,M,0,1,1,services,other,11
19,1,1,MS,M,0,1,3,other,at_home,8
